neuron,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10
166,0.8384,0.7926,0.6672,0.5832,0.5692,0.515,0.5006,0.4832,0.4646,0.456,0.4268
167,0.5838,0.393,0.1408,0.069,0.036,0.024,0.018,0.0152,0.0128,0.012,0.0118
168,0.4266,0.9582,0.9758,0.9796,0.9794,0.9776,0.9772,0.9782,0.9806,0.9818,0.9824
169,0.6302,0.1114,0.0562,0.038,0.0336,0.0284,0.0266,0.0244,0.0232,0.022,0.0202
170,0.5402,0.1344,0.1396,0.1388,0.1404,0.1314,0.1212,0.112,0.1032,0.1,0.0824
171,0.968,0.9912,0.9898,0.9906,0.9912,0.9904,0.9906,0.991,0.9934,0.9938,0.9934
172,0.8688,0.906,0.9272,0.93,0.9404,0.9474,0.9524,0.953,0.9474,0.944,0.9432
173,0.9522,0.9986,0.9996,0.9996,0.9996,0.9996,0.9996,1.0,1.0,1.0,1.0
174,0.0142,0.0054,0.004,0.0036,0.0034,0.0026,0.002,0.0018,0.0016,0.0014,0.0012
175,0.0974,0.0408,0.0348,0.0286,0.025,0.0206,0.0178,0.0158,0.0136,0.0122,0.0108
176,0.467,0.3138,0.266,0.2448,0.2556,0.2568,0.236,0.2232,0.2194,0.2152,0.2264
177,0.0872,0.046,0.092,0.1298,0.1622,0.1872,0.1906,0.2056,0.191,0.2168,0.213
178,0.9536,0.991,0.9926,0.9944,0.9954,0.996,0.9962,0.9962,0.9962,0.9964,0.9964
179,0.1576,0.2416,0.266,0.314,0.3434,0.2972,0.2666,0.2212,0.189,0.1616,0.1574
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,0.9188,0.875,0.868,0.8344,0.7696,0.7118,0.6316,0.6042,0.5714,0.5528,0.5444
182,0.7304,0.5124,0.4524,0.4558,0.4508,0.4524,0.4362,0.4294,0.4248,0.4324,0.4436
183,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002
184,0.0314,0.0684,0.0336,0.021,0.0164,0.014,0.0128,0.0098,0.0084,0.0084,0.0072
185,0.0244,0.0268,0.033,0.0316,0.03,0.0272,0.0272,0.0284,0.0296,0.0348,0.0384
186,0.6372,0.965,0.978,0.9824,0.9838,0.9836,0.9832,0.9812,0.9822,0.9822,0.9826
187,0.0048,0.0082,0.0068,0.007,0.0066,0.0074,0.0088,0.0088,0.0098,0.0108,0.0114
188,0.4158,0.5562,0.7052,0.7066,0.6814,0.669,0.652,0.5972,0.59,0.557,0.5388
189,0.967,0.9108,0.8538,0.7854,0.6086,0.4754,0.4254,0.4318,0.4418,0.4484,0.4492
190,0.7506,0.7226,0.4648,0.4728,0.4594,0.4846,0.5016,0.5176,0.5128,0.5264,0.5272
191,0.9948,0.9986,0.9988,0.9988,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992
192,0.705,0.5822,0.3894,0.2846,0.2028,0.13,0.1084,0.1076,0.0934,0.0942,0.0952
193,0.0006,0.0034,0.0056,0.0066,0.0072,0.0076,0.0084,0.0088,0.0088,0.0086,0.008
194,0.0844,0.0462,0.0372,0.024,0.0216,0.0204,0.0182,0.0174,0.0174,0.0182,0.0194
195,0.9886,0.996,0.9956,0.9948,0.9924,0.9922,0.9918,0.9912,0.9908,0.9904,0.99
196,0.9796,0.9896,0.9894,0.9884,0.9884,0.9882,0.988,0.9886,0.9888,0.9884,0.9886
197,0.9988,0.9974,0.9968,0.9972,0.9974,0.998,0.998,0.998,0.9982,0.9984,0.9984
198,0.8122,0.9922,0.995,0.9942,0.9938,0.994,0.9936,0.9932,0.9924,0.991,0.989
199,0.7518,0.5254,0.3288,0.2956,0.2832,0.3098,0.2906,0.3038,0.2786,0.286,0.277
200,0.101,0.0856,0.0648,0.0506,0.0442,0.0344,0.0262,0.0242,0.0224,0.0194,0.0166
201,0.9784,0.9846,0.9808,0.9758,0.9726,0.9666,0.9568,0.9454,0.9272,0.9084,0.8852
202,0.9666,0.8336,0.7862,0.6842,0.6066,0.499,0.4188,0.3876,0.3582,0.3124,0.3122
203,0.0012,0.001,0.0004,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
205,0.0,0.0006,0.001,0.0024,0.0042,0.0054,0.0084,0.0112,0.0154,0.02,0.024
206,0.001,0.0048,0.009,0.0086,0.0098,0.0094,0.0096,0.0094,0.0094,0.0094,0.0102
207,0.0346,0.0694,0.0936,0.0888,0.0674,0.0642,0.0552,0.0502,0.0444,0.0422,0.0392
208,0.4092,0.3336,0.3246,0.3284,0.3224,0.3226,0.3262,0.3218,0.3316,0.3288,0.3328
209,0.0588,0.0652,0.0924,0.1194,0.154,0.1818,0.203,0.244,0.2386,0.243,0.2538
210,0.0212,0.055,0.0394,0.03,0.0278,0.024,0.019,0.0184,0.0168,0.0158,0.0158
211,0.2506,0.0664,0.0712,0.087,0.1038,0.1194,0.1394,0.1598,0.1706,0.1752,0.1788
212,0.0818,0.0474,0.0444,0.0396,0.0428,0.0618,0.0762,0.0954,0.1096,0.1394,0.1474
213,0.152,0.0492,0.0336,0.0322,0.0276,0.0224,0.0238,0.021,0.0208,0.0208,0.0196
